name,productId,console,pc,category,storePath,newSinceDate
Among Us,9NG07QJNK38J,true,true,Essential,-/9NG07QJNK38J,
ASTRONEER,9NBLGGH43KZB,true,true,Essential,-/9NBLGGH43KZB,
Batman™: Arkham Knight,BSLX1RNXR6H7,true,true,Essential,-/BSLX1RNXR6H7,
Battletoads,9N7GCF5SGCXC,true,true,Essential,-/9N7GCF5SGCXC,
BLiNX: The Time Sweeper,BRG51C5MWFSG,true,true,Essential,-/BRG51C5MWFSG,
Celeste,BWMQL2RPWBHB,true,true,Essential,-/BWMQL2RPWBHB,
Chivalry 2,9N7CJX93ZGWN,true,true,Essential,-/9N7CJX93ZGWN,
Cities: Skylines - Remastered,9MZ4GBWX9GND,true,false,Essential,-/9MZ4GBWX9GND,
Cities: Skylines - Windows 10 Edition,9NWVC7XP3PFD,false,true,Essential,-/9NWVC7XP3PFD,
Cities: Skylines - Xbox One Edition,C4GH8N6ZXG5L,true,false,Essential,-/C4GH8N6ZXG5L,
Conker: Live and Reloaded,BVFB8CBS75R6,true,true,Essential,-/BVFB8CBS75R6,
Control,BZ6W9LRPC26W,true,false,Essential,-/BZ6W9LRPC26W,
Control Ultimate Edition,9P7LVXNVQ6K7,false,true,Essential,-/9P7LVXNVQ6K7,
Control Ultimate Edition - Xbox Series X|S,9P4D0K92BM7V,true,false,Essential,-/9P4D0K92BM7V,
Costume Quest,BR74RLMH966K,true,false,Essential,-/BR74RLMH966K,
Costume Quest 2,BZ92FB6PWXFJ,true,false,Essential,-/BZ92FB6PWXFJ,
Crash™ Team Racing Nitro-Fueled,BQRB60PW2SDL,true,false,Essential,-/BQRB60PW2SDL,
Crimson Skies®: High Road to Revenge™,C4B8XR1LCXR5,true,true,Essential,-/C4B8XR1LCXR5,
DayZ,BSR9NLHVF1KL,true,true,Essential,-/BSR9NLHVF1KL,
Dead Cells,BQSCNS1T8PHQ,true,true,Essential,-/BQSCNS1T8PHQ,
Deep Rock Galactic,9NHFVWX1V7QJ,true,true,Essential,-/9NHFVWX1V7QJ,
Descenders,C37XBX7DCBZ0,true,true,Essential,-/C37XBX7DCBZ0,
Dishonored 2,BSZM480TSWGP,true,true,Essential,-/BSZM480TSWGP,
Disney Dreamlight Valley,9NSF0BGH8D86,true,true,Essential,-/9NSF0BGH8D86,
DOOM Eternal Standard Edition (PC),9PK09BL31FK1,false,true,Essential,-/9PK09BL31FK1,
Fable Anniversary,C2Q32JM0BPZL,true,false,Essential,-/C2Q32JM0BPZL,
Fallout 4,C3KLDKZBHNCZ,true,true,Essential,-/C3KLDKZBHNCZ,
Fallout 76,BS6WJ2L56B10,true,false,Essential,-/BS6WJ2L56B10,
Fallout 76 (PC),9NKGNMNK3K3Z,false,true,Essential,-/9NKGNMNK3K3Z,
Firewatch,BQQKG9H2STC0,true,true,Essential,-/BQQKG9H2STC0,
