name,productId,console,pc,storePath,newSinceDate
Anno 1800™,9P1VNX9Z03N5,false,true,-/9P1VNX9Z03N5,
Anno 1800™ Console Edition,9PHKWCSZ0SQJ,true,false,-/9PHKWCSZ0SQJ,
Assassin's Creed 2,9NN1M88HL5M6,false,true,-/9NN1M88HL5M6,
Assassin's Creed Brotherhood,9PGMNX4HG2C7,false,true,-/9PGMNX4HG2C7,
Assassin's Creed Chronicles – Russia,9MZHXGGM7HDJ,false,true,-/9MZHXGGM7HDJ,
Assassin's Creed Chronicles – Trilogy,C4HB1XWT02DK,true,false,-/C4HB1XWT02DK,
Assassin's Creed Chronicles : China,9PJPZK79N5VG,false,true,-/9PJPZK79N5VG,
Assassin’s Creed Chronicles: India,9N0QFT016SGV,false,true,-/9N0QFT016SGV,
Assassin's Creed Freedom Cry - Standalone,9MZ1GSWX2G53,false,true,-/9MZ1GSWX2G53,
Assassin's Creed IV Black Flag,BRKMHZX1RCF2,true,false,-/BRKMHZX1RCF2,
Assassin’s Creed IV Black Flag - Gold Edition,9NVZ03XT8S2P,false,true,-/9NVZ03XT8S2P,
Assassin's Creed Odyssey,BW9TWC8L4JCS,true,false,-/BW9TWC8L4JCS,
Assassin's Creed Origins,BZGJRJC1FGF3,true,true,-/BZGJRJC1FGF3,
Assassin's Creed Revelations,9MZG3KH0PVZC,false,true,-/9MZG3KH0PVZC,
Assassin's Creed Rogue,9NV01PJJLXN2,false,true,-/9NV01PJJLXN2,
Assassin's Creed Syndicate,BXVQ8M4J9HNM,true,false,-/BXVQ8M4J9HNM,
Assassin’s Creed Syndicate,9PHPDGTRVGGL,false,true,-/9PHPDGTRVGGL,
Assassin's Creed Unity,BRQH27C9RGXS,true,true,-/BRQH27C9RGXS,
Assassin's Creed Valhalla,9P4NJFH17MRT,true,false,-/9P4NJFH17MRT,
Assassin's Creed® Chronicles: China,BZQQ7HX8PZ05,true,false,-/BZQQ7HX8PZ05,
Assassin's Creed® Chronicles: India,BTMS1PXLQ6P6,true,false,-/BTMS1PXLQ6P6,
Assassin's Creed® Chronicles: Russia,BXQQQQ8HRBSF,true,false,-/BXQQQQ8HRBSF,
Assassin's Creed® III Remastered,BPMJ413V6BB2,true,true,-/BPMJ413V6BB2,
Assassin’s Creed® Mirage,9NZCJF5VF1NV,true,true,-/9NZCJF5VF1NV,
Assassin's Creed® Odyssey,9PDNF24PP2V2,false,true,-/9PDNF24PP2V2,
Assassin’s Creed® Rogue Remastered,BWT5L9P3L60X,true,false,-/BWT5L9P3L60X,
Assassin's Creed® The Ezio Collection,BQ9S8ZKCT3Q7,true,false,-/BQ9S8ZKCT3Q7,
Assassin's Creed® Valhalla,9NJ2SFHNCCRV,false,true,-/9NJ2SFHNCCRV,
Child of Light,BQ9Q620NC614,true,true,-/BQ9Q620NC614,
FAR CRY 3,9NXWKGRHT31F,false,true,-/9NXWKGRHT31F,
FAR CRY 3 BLOOD DRAGON,9P5Z088TJQ5S,false,true,-/9P5Z088TJQ5S,
Far Cry 3 Blood Dragon Classic Edition,9NVJ4L71DF5Q,true,false,-/9NVJ4L71DF5Q,
Far Cry 3 Classic Edition,BV2ZVP7PJZWL,true,false,-/BV2ZVP7PJZWL,
FAR CRY 4,9MVV32Z0JPCL,false,true,-/9MVV32Z0JPCL,
Far Cry New Dawn,9NWX420Z2NLG,false,true,-/9NWX420Z2NLG,
FAR CRY PRIMAL,BV6BRSLFJW3W,true,true,-/BV6BRSLFJW3W,
Far Cry® 4,C0KJ40T9QD86,true,false,-/C0KJ40T9QD86,
Far Cry® 5,BR7X7MVBBQKM,true,true,-/BR7X7MVBBQKM,
Far Cry® 6,9PJ45NJCHSFS,false,true,-/9PJ45NJCHSFS,
Far Cry® New Dawn,C1DDW4PRF6K5,true,false,-/C1DDW4PRF6K5,
FARCRY 6,9PBNGCVBGML0,true,false,-/9PBNGCVBGML0,
FOR HONOR,9P82LXD5RH31,false,true,-/9P82LXD5RH31,
FOR HONOR - Standard Edition,9N3DWR830CVN,true,false,-/9N3DWR830CVN,
Hungry Shark World,9P57SQHVWND7,false,true,-/9P57SQHVWND7,
Hungry Shark® World,C3NHWKLR94M9,true,false,-/C3NHWKLR94M9,
Immortals Fenyx Rising™,C07KJZRH0L7S,true,true,-/C07KJZRH0L7S,
MONOPOLY 2024,9NVH8SJNX20S,false,true,-/9NVH8SJNX20S,
Monopoly Madness,9P0RGJND5SR0,true,false,-/9P0RGJND5SR0,
MONOPOLY Madness,9MTP0GJ0Q3MG,false,true,-/9MTP0GJ0Q3MG,
New MONOPOLY®,9P8H220G3S4P,true,false,-/9P8H220G3S4P,
OddBallers™,9PMX3SK2RMG4,true,true,-/9PMX3SK2RMG4,
Prince of Persia The Lost Crown,9P4LSLG7B8CT,true,true,-/9P4LSLG7B8CT,
Rabbids Invasion : The Interactive TV Show,BXZ0JDCPRV6C,true,false,-/BXZ0JDCPRV6C,
Rabbids®: Party of Legends,9PLF73SS7M6J,true,true,-/9PLF73SS7M6J,
Rayman Legends,C26K4DVGR45B,true,false,-/C26K4DVGR45B,
RAYMAN LEGENDS,9NQ4M2DG11L0,false,true,-/9NQ4M2DG11L0,
Riders Republic Standard Edition,9NZ4T5RFD7KF,false,true,-/9NZ4T5RFD7KF,
Riders Republic™,9P1RPXHWZ1C7,true,false,-/9P1RPXHWZ1C7,
Risk: Urban Assault,BTDRTXBKDBRR,true,false,-/BTDRTXBKDBRR,
Skull and Bones,BXF9VWKCD6QW,true,true,-/BXF9VWKCD6QW,
South Park: The Stick of Truth,9NQ26CN8MZ1R,false,true,-/9NQ26CN8MZ1R,
South Park™: The Fractured but Whole™,C4VLMWJWM7BG,true,true,-/C4VLMWJWM7BG,
South Park™: The Stick of Truth ™,C0QDQ0KX4HDV,true,false,-/C0QDQ0KX4HDV,
Star Wars Outlaws,9NLHVWSFB0FC,true,true,-/9NLHVWSFB0FC,
Starlink: Battle for Atlas™,BT3KQ8HLLZ6K,true,true,-/BT3KQ8HLLZ6K,
STEEP,C350VBGGCL6P,true,true,-/C350VBGGCL6P,
The Crew Motorfest,9NC4PV16GVT1,false,true,-/9NC4PV16GVT1,
The Crew Motorfest - Xbox One,9PB5JN044BHZ,true,false,-/9PB5JN044BHZ,
The Crew Motorfest - Xbox Series X|S,9NTB0ZG811GR,true,false,-/9NTB0ZG811GR,
The Crew® 2,BV05F8VT7JJ4,true,true,-/BV05F8VT7JJ4,
The Settlers: New Allies,9N10HHMXFFC5,false,true,-/9N10HHMXFFC5,
The Settlers®: New Allies,9NPGPDCXWJQ7,true,false,-/9NPGPDCXWJQ7,
Tom Clancy's Ghost Recon Breakpoint,C3VVNLQQ54F8,true,false,-/C3VVNLQQ54F8,
Tom Clancy's Ghost Recon Wildlands,C2N9CS4FS1QR,true,false,-/C2N9CS4FS1QR,
Tom Clancy’s Ghost Recon Wildlands,9P85NL6T3DHP,false,true,-/9P85NL6T3DHP,
Tom Clancy's Ghost Recon® Breakpoint,9PKJ0532DTCW,false,true,-/9PKJ0532DTCW,
Tom Clancy's Rainbow Six Siege - Elite Edition,9PB3RHWXB9MR,true,false,-/9PB3RHWXB9MR,
Tom Clancy’s Rainbow Six® Extraction,BXRB4ZH2GJHK,true,true,-/BXRB4ZH2GJHK,
Tom Clancy's Rainbow Six® Siege - Elite Edition,9NCZ8W65H33V,false,true,-/9NCZ8W65H33V,
Tom Clancy's The Division,9NDJPHS21XXG,false,true,-/9NDJPHS21XXG,
Tom Clancy’s The Division,BRGPD72KHM3Q,true,false,-/BRGPD72KHM3Q,
Tom Clancy’s The Division 2,BVQ3V30ZXVT5,true,true,-/BVQ3V30ZXVT5,
