name,productId,console,pc,category,storePath,newSinceDate
Aerial_Knight's DropShot,9P59J86GHDGL,true,true,Ultimate Exclusive,-/9P59J86GHDGL,
Aphelion,9NK8947Z28XL,true,true,Ultimate Exclusive,-/9NK8947Z28XL,
Ascend to ZERO,9NHCT85MKHCV,true,true,Ultimate Exclusive,-/9NHCT85MKHCV,2026-07-25
Avatar: Frontiers of Pandora,9N21G14CVS5L,false,true,Ultimate Exclusive,-/9N21G14CVS5L,
Avatar: Frontiers of Pandora™,9N9QJG4S82B5,true,false,Ultimate Exclusive,-/9N9QJG4S82B5,
BALL x PIT,9MWXF3SRD7QN,true,true,Ultimate Exclusive,-/9MWXF3SRD7QN,
Beastro,9NJRSC0B0K88,true,true,Ultimate Exclusive,-/9NJRSC0B0K88,
Beatdown City Survivors,9N4X39HZ1CSQ,true,true,Ultimate Exclusive,-/9N4X39HZ1CSQ,
Black Jacket,9NTXGKBW2HSM,true,true,Ultimate Exclusive,-/9NTXGKBW2HSM,
BlazBlue Entropy Effect X,9N8H4RRSRV2S,true,true,Ultimate Exclusive,-/9N8H4RRSRV2S,
Bounty Star,9P66TM1HLGLX,true,true,Ultimate Exclusive,-/9P66TM1HLGLX,
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,9N1N0NQNGK9W,true,false,Ultimate Exclusive,-/9N1N0NQNGK9W,
Call of Duty®: Black Ops 6 - Standard Edition (Windows),9MZ1RZTJTZKB,false,true,Ultimate Exclusive,-/9MZ1RZTJTZKB,
Call of Duty®: Black Ops 7 - Cross-Gen Bundle,9N8KMNW6942X,true,true,Ultimate Exclusive,-/9N8KMNW6942X,
Call of the Elder Gods,9PF697TG7PP7,true,true,Ultimate Exclusive,-/9PF697TG7PP7,
Crashout Crew,9NJJVQZ3BVPX,true,true,Ultimate Exclusive,-/9NJJVQZ3BVPX,
Denshattack!,9N18L56XHK8Z,true,true,Ultimate Exclusive,-/9N18L56XHK8Z,
Dice A Million,9N3NTDPJCD9Z,false,true,Ultimate Exclusive,-/9N3NTDPJCD9Z,
Echo Generation 2,9N17PD34G54M,true,true,Ultimate Exclusive,-/9N17PD34G54M,
Egging On,9PDKDBQGG2N2,true,true,Ultimate Exclusive,-/9PDKDBQGG2N2,
Fogpiercer,9P2PP895LSBJ,false,true,Ultimate Exclusive,-/9P2PP895LSBJ,
Fortnite,BT5P2X999VH2,true,true,Ultimate Exclusive,-/BT5P2X999VH2,
Forza Horizon 6 Standard Edition,9N431PX143P8,true,true,Ultimate Exclusive,-/9N431PX143P8,
Frog Sqwad,9N16RZ0S50V2,true,true,Ultimate Exclusive,-/9N16RZ0S50V2,
Grounded 2 (Game Preview),9P77PG7DK0W2,true,true,Ultimate Exclusive,-/9P77PG7DK0W2,
Halo Wars: Definitive Edition (PC),9NBLGGH5WLR0,false,true,Ultimate Exclusive,-/9NBLGGH5WLR0,
Heretic + Hexen,9NC7NRD0CM11,true,true,Ultimate Exclusive,-/9NC7NRD0CM11,
Heroes of Might and Magic 3 - Complete Edition,9P5241RBH1SZ,false,true,Ultimate Exclusive,-/9P5241RBH1SZ,
Heroes of Might and Magic II - Gold Edition,9NSB55HX1GGN,false,true,Ultimate Exclusive,-/9NSB55HX1GGN,
Heroes of Might and Magic: Olden Era (Game Preview),9P2TFCCRKMRD,false,true,Ultimate Exclusive,-/9P2TFCCRKMRD,
High On Life 2,9NF6XPSBTTGB,true,true,Ultimate Exclusive,-/9NF6XPSBTTGB,
inKONBINI: One Store. Many Stories,9NVV0M74W05C,true,true,Ultimate Exclusive,-/9NVV0M74W05C,
Junkster,9NZPKBFF0CV9,true,true,Ultimate Exclusive,-/9NZPKBFF0CV9,
Keeper,9NCJWHHMVHR0,true,true,Ultimate Exclusive,-/9NCJWHHMVHR0,
Kiln,9MW53ZKZH168,true,true,Ultimate Exclusive,-/9MW53ZKZH168,
Luna Abyss,9PLBH9J0XGR8,true,true,Ultimate Exclusive,-/9PLBH9J0XGR8,
MARVEL Cosmic Invasion,9N79TQTZTQQ4,true,true,Ultimate Exclusive,-/9N79TQTZTQQ4,
MENACE (Game Preview),9NQCJ397CQ6P,false,true,Ultimate Exclusive,-/9NQCJ397CQ6P,
MIO: Memories in Orbit,9NP86K57SQM3,true,true,Ultimate Exclusive,-/9NP86K57SQM3,
Mixtape,9NH0MSG29X6L,true,true,Ultimate Exclusive,-/9NH0MSG29X6L,
Monsters are Coming!,9PJBKF27C16M,false,true,Ultimate Exclusive,-/9PJBKF27C16M,
Moonlighter 2: The Endless Vault (Game Preview),9NDJX252Q5BW,false,true,Ultimate Exclusive,-/9NDJX252Q5BW,
MOTORSLICE,9P0073G9FW5Z,true,true,Ultimate Exclusive,-/9P0073G9FW5Z,
NINJA GAIDEN 4 Standard Edition,9N7358JZPX1Z,true,true,Ultimate Exclusive,-/9N7358JZPX1Z,
Nova Roma (Game Preview),9NBNFBQ546DT,false,true,Ultimate Exclusive,-/9NBNFBQ546DT,
Outbound,9PFWZMT737GG,true,true,Ultimate Exclusive,-/9PFWZMT737GG,
Planet of Lana II,9PL89B9HCZ9W,true,true,Ultimate Exclusive,-/9PL89B9HCZ9W,
PowerWash Simulator 2,9P45GGDTFNSM,true,true,Ultimate Exclusive,-/9P45GGDTFNSM,
Relooted,9PPP5344B3LS,true,true,Ultimate Exclusive,-/9PPP5344B3LS,
REPLACED,9NV3L234VGXD,true,true,Ultimate Exclusive,-/9NV3L234VGXD,
Roadside Research (Game Preview),9PFNXM9G4N83,true,true,Ultimate Exclusive,-/9PFNXM9G4N83,
Rocket League®,C125W9BG2K0V,true,false,Ultimate Exclusive,-/C125W9BG2K0V,
ROUTINE,9PCJT6TLCGGV,true,true,Ultimate Exclusive,-/9PCJT6TLCGGV,
Shift At Midnight,9N0WDPMXNHWN,true,true,Ultimate Exclusive,-/9N0WDPMXNHWN,
Sledding Game,9N9C1TB18R3B,true,true,Ultimate Exclusive,-/9N9C1TB18R3B,
Solarpunk,9N8BRH7PGJMJ,true,true,Ultimate Exclusive,-/9N8BRH7PGJMJ,
Starsand Island,9P86LLDCL5CC,true,true,Ultimate Exclusive,-/9P86LLDCL5CC,
STARSEEKER: Astroneer Expeditions (Game Preview),9NTZH69PZSH0,true,true,Ultimate Exclusive,-/9NTZH69PZSH0,
Subnautica 2 (Game Preview),9PJPCB188SVG,true,true,Ultimate Exclusive,-/9PJPCB188SVG,
Super Meat Boy 3D,9NJ67TQQ51Z0,true,true,Ultimate Exclusive,-/9NJ67TQQ51Z0,
Tears of Metal (Game Preview),9PN8M16GG8M4,false,true,Ultimate Exclusive,-/9PN8M16GG8M4,
TerraTech Legion,9NG66K0Z31LH,true,true,Ultimate Exclusive,-/9NG66K0Z31LH,
The Outer Worlds 2,9P8RMKXRML7D,true,true,Ultimate Exclusive,-/9P8RMKXRML7D,
The Rogue Prince of Persia™,9P7M1VCXKQVD,true,true,Ultimate Exclusive,-/9P7M1VCXKQVD,
Ultimate Sheep Raccoon,9P1H8K2V0NNP,true,true,Ultimate Exclusive,-/9P1H8K2V0NNP,
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,9NMPVJ7TCFD0,true,true,Ultimate Exclusive,-/9NMPVJ7TCFD0,
VOID/BREAKER (Game Preview),9N9K5QP9G3GL,false,true,Ultimate Exclusive,-/9N9K5QP9G3GL,
Young Suns (Game Preview),9N3KQH8183GD,true,true,Ultimate Exclusive,-/9N3KQH8183GD,
