name,productId,console,pc,category,storePath,newSinceDate
A Way Out,BWVBNCMF22ZK,true,true,EA Play,-/BWVBNCMF22ZK,
Aerial_Knight's DropShot,9P59J86GHDGL,true,true,Ultimate Exclusive,-/9P59J86GHDGL,
Alice: Madness Returns,BSNZHRCKC13J,true,false,EA Play,-/BSNZHRCKC13J,
Alice: Madness Returns™,9NPVC7S5ZZ7R,false,true,EA Play,-/9NPVC7S5ZZ7R,
Aphelion,9NK8947Z28XL,true,true,Ultimate Exclusive,-/9NK8947Z28XL,
Army of Two™,C1LM235H6FZ1,true,false,EA Play,-/C1LM235H6FZ1,
Ascend to ZERO,9NHCT85MKHCV,true,true,Ultimate Exclusive,-/9NHCT85MKHCV,
Assassin's Creed 2,9NN1M88HL5M6,false,true,Ubisoft+ Classics,-/9NN1M88HL5M6,
Assassin's Creed Brotherhood,9PGMNX4HG2C7,false,true,Ubisoft+ Classics,-/9PGMNX4HG2C7,
Assassin's Creed Chronicles – Russia,9MZHXGGM7HDJ,false,true,Ubisoft+ Classics,-/9MZHXGGM7HDJ,
Assassin's Creed Chronicles – Trilogy,C4HB1XWT02DK,true,false,Ubisoft+ Classics,-/C4HB1XWT02DK,
Assassin's Creed Chronicles : China,9PJPZK79N5VG,false,true,Ubisoft+ Classics,-/9PJPZK79N5VG,
Assassin’s Creed Chronicles: India,9N0QFT016SGV,false,true,Ubisoft+ Classics,-/9N0QFT016SGV,
Assassin's Creed Freedom Cry - Standalone,9MZ1GSWX2G53,false,true,Ubisoft+ Classics,-/9MZ1GSWX2G53,
Assassin's Creed IV Black Flag,BRKMHZX1RCF2,true,false,Ubisoft+ Classics,-/BRKMHZX1RCF2,
Assassin’s Creed IV Black Flag - Gold Edition,9NVZ03XT8S2P,false,true,Ubisoft+ Classics,-/9NVZ03XT8S2P,
Assassin's Creed Revelations,9MZG3KH0PVZC,false,true,Ubisoft+ Classics,-/9MZG3KH0PVZC,
Assassin's Creed Rogue,9NV01PJJLXN2,false,true,Ubisoft+ Classics,-/9NV01PJJLXN2,
Assassin's Creed Syndicate,BXVQ8M4J9HNM,true,false,Ubisoft+ Classics,-/BXVQ8M4J9HNM,
Assassin’s Creed Syndicate,9PHPDGTRVGGL,false,true,Ubisoft+ Classics,-/9PHPDGTRVGGL,
Assassin's Creed Unity,BRQH27C9RGXS,true,true,Ubisoft+ Classics,-/BRQH27C9RGXS,
Assassin's Creed® Chronicles: China,BZQQ7HX8PZ05,true,false,Ubisoft+ Classics,-/BZQQ7HX8PZ05,
Assassin's Creed® Chronicles: India,BTMS1PXLQ6P6,true,false,Ubisoft+ Classics,-/BTMS1PXLQ6P6,
Assassin's Creed® Chronicles: Russia,BXQQQQ8HRBSF,true,false,Ubisoft+ Classics,-/BXQQQQ8HRBSF,
Assassin's Creed® III Remastered,BPMJ413V6BB2,true,true,Ubisoft+ Classics,-/BPMJ413V6BB2,
Assassin’s Creed® Mirage,9NZCJF5VF1NV,true,true,Ubisoft+ Classics,-/9NZCJF5VF1NV,
Assassin’s Creed® Rogue Remastered,BWT5L9P3L60X,true,false,Ubisoft+ Classics,-/BWT5L9P3L60X,
Assassin's Creed® The Ezio Collection,BQ9S8ZKCT3Q7,true,false,Ubisoft+ Classics,-/BQ9S8ZKCT3Q7,
Avatar: Frontiers of Pandora,9N21G14CVS5L,false,true,Ultimate Exclusive,-/9N21G14CVS5L,
Avatar: Frontiers of Pandora™,9N9QJG4S82B5,true,false,Ultimate Exclusive,-/9N9QJG4S82B5,
BALL x PIT,9MWXF3SRD7QN,true,true,Ultimate Exclusive,-/9MWXF3SRD7QN,
Battlefield 3 Premium Edition,9N8D2CG0K9LL,false,true,EA Play,-/9N8D2CG0K9LL,
Battlefield 3™,BRN6BHDHB58J,true,false,EA Play,-/BRN6BHDHB58J,
Battlefield 4,BP15SF17LH13,true,false,EA Play,-/BP15SF17LH13,
Battlefield 4™ Premium Edition,9NPSWGMTPRVW,false,true,EA Play,-/9NPSWGMTPRVW,
Battlefield™ 1 Revolution,BPL68T0XK96W,true,true,EA Play,-/BPL68T0XK96W,
Battlefield™ 2042,9N8C8L9MVQ89,false,true,EA Play,-/9N8C8L9MVQ89,
Battlefield™ 2042 Xbox One,9PD5BFNZ4V7K,true,false,EA Play,-/9PD5BFNZ4V7K,
Battlefield™ 2042 Xbox Series X|S,9P0T51BDDWVT,true,false,EA Play,-/9P0T51BDDWVT,
Battlefield™ Hardline,BZKZFMQG2K2K,true,false,EA Play,-/BZKZFMQG2K2K,
Battlefield™ Hardline Ultimate Edition,9N40901WDQJD,false,true,EA Play,-/9N40901WDQJD,
Battlefield™ V,BZ2N7TQ0XCF2,true,false,EA Play,-/BZ2N7TQ0XCF2,
Battlefield™ V Year 2 Edition,9PDH3TB5548T,false,true,EA Play,-/9PDH3TB5548T,
Beastro,9NJRSC0B0K88,true,true,Ultimate Exclusive,-/9NJRSC0B0K88,
Beatdown City Survivors,9N4X39HZ1CSQ,true,true,Ultimate Exclusive,-/9N4X39HZ1CSQ,
Bejeweled 2,BTXM0C9C3B1S,true,false,EA Play,-/BTXM0C9C3B1S,
Bejeweled 3,BR7QJW8V9L2S,true,false,EA Play,-/BR7QJW8V9L2S,
Black Jacket,9NTXGKBW2HSM,true,true,Ultimate Exclusive,-/9NTXGKBW2HSM,
BLACK™,BTCS0LP052HL,true,false,EA Play,-/BTCS0LP052HL,
BlazBlue Entropy Effect X,9N8H4RRSRV2S,true,true,Ultimate Exclusive,-/9N8H4RRSRV2S,
Bounty Star,9P66TM1HLGLX,true,true,Ultimate Exclusive,-/9P66TM1HLGLX,
Burnout™ Paradise Remastered,BQMQ3K1BLV1T,true,true,EA Play,-/BQMQ3K1BLV1T,
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,9N1N0NQNGK9W,true,false,Ultimate Exclusive,-/9N1N0NQNGK9W,
Call of Duty®: Black Ops 6 - Standard Edition (Windows),9MZ1RZTJTZKB,false,true,Ultimate Exclusive,-/9MZ1RZTJTZKB,
Call of Duty®: Black Ops 7 - Cross-Gen Bundle,9N8KMNW6942X,true,true,Ultimate Exclusive,-/9N8KMNW6942X,
Call of the Elder Gods,9PF697TG7PP7,true,true,Ultimate Exclusive,-/9PF697TG7PP7,
Child of Light,BQ9Q620NC614,true,true,Ubisoft+ Classics,-/BQ9Q620NC614,
Command & Conquer™ Remastered Collection,9N0LFRXLDJHZ,false,true,EA Play,-/9N0LFRXLDJHZ,
Crashout Crew,9NJJVQZ3BVPX,true,true,Ultimate Exclusive,-/9NJJVQZ3BVPX,
Crysis,BNN7BPDZ6GQB,true,false,EA Play,-/BNN7BPDZ6GQB,
Crysis 2,BQBTGDT4P54J,true,false,EA Play,-/BQBTGDT4P54J,
Crysis 3,9PNRHXZ6ZSS9,false,true,EA Play,-/9PNRHXZ6ZSS9,
Crysis®,9NB993S1TWSH,false,true,EA Play,-/9NB993S1TWSH,
Crysis® 2 Maximum Edition,9P1D3TD1KHLR,false,true,EA Play,-/9P1D3TD1KHLR,
Crysis® 3,BNKKJL1VRR5P,true,false,EA Play,-/BNKKJL1VRR5P,
Dante's Inferno™,C0X6N5963CTW,true,false,EA Play,-/C0X6N5963CTW,
Dead Space,9NLB6V0GNC9P,true,true,EA Play,-/9NLB6V0GNC9P,
Dead Space - 2008,9NZ1BL9SMVG4,false,true,EA Play,-/9NZ1BL9SMVG4,
Dead Space (2008),BRJLJ6RPLQTJ,true,false,EA Play,-/BRJLJ6RPLQTJ,
Dead Space 2,9NZ90QLG3H0V,false,true,EA Play,-/9NZ90QLG3H0V,
Dead Space 3,9MTD9ZS1G3CC,false,true,EA Play,-/9MTD9ZS1G3CC,
Dead Space™ 2,C2PB7STLJGS0,true,false,EA Play,-/C2PB7STLJGS0,
Dead Space™ 3,BP73LMGB1DFD,true,false,EA Play,-/BP73LMGB1DFD,
Dead Space™ Ignition,C4GQQJJSZSZJ,true,false,EA Play,-/C4GQQJJSZSZJ,
Denshattack!,9N18L56XHK8Z,true,true,Ultimate Exclusive,-/9N18L56XHK8Z,
Dice A Million,9N3NTDPJCD9Z,false,true,Ultimate Exclusive,-/9N3NTDPJCD9Z,
DIRT 5,9PJGM0T0827V,true,true,EA Play,-/9PJGM0T0827V,
DiRT Rally 2.0,BRPGP6H8P26F,true,false,EA Play,-/BRPGP6H8P26F,
Dragon Age: Origins,BS9SX4Q6XJRF,true,false,EA Play,-/BS9SX4Q6XJRF,
Dragon Age™ 2,C4G76555T4QN,true,false,EA Play,-/C4G76555T4QN,
Dragon Age™ II,9P5VB9G9CJ29,false,true,EA Play,-/9P5VB9G9CJ29,
Dragon Age™: Inquisition,C47GZZBMR5WG,true,false,EA Play,-/C47GZZBMR5WG,
Dragon Age™: Inquisition - Game of the Year Edition,9MWLS68W1P7Q,false,true,EA Play,-/9MWLS68W1P7Q,
Dragon Age™: Origins - Ultimate Edition,9MWQ083Z7L4F,false,true,EA Play,-/9MWQ083Z7L4F,
Dragon Age™: The Veilguard,BSDX4FNNC0DK,true,false,EA Play,-/BSDX4FNNC0DK,
Dragon Age™: The Veilguard - PC,9NHCW3R1JB1C,false,true,EA Play,-/9NHCW3R1JB1C,
Dungeon Keeper™,9PKDX735TR8K,false,true,EA Play,-/9PKDX735TR8K,
Dungeon Keeper™ 2,9NGL4GBPXM1G,false,true,EA Play,-/9NGL4GBPXM1G,
EA SPORTS FC™ 25 - PC,9P8RC7S4NRQ3,false,true,EA Play,-/9P8RC7S4NRQ3,
EA SPORTS FC™ 25 Xbox One,9N436FQM30HX,true,false,EA Play,-/9N436FQM30HX,
EA SPORTS FC™ 25 Xbox Series X|S,9NNPSTWT06VM,true,false,EA Play,-/9NNPSTWT06VM,
EA SPORTS FC™ 26 - PC,9N3XQQ1LHJ4X,false,true,EA Play,-/9N3XQQ1LHJ4X,
EA SPORTS FC™ 26 Xbox One,9NK13T4QFPQW,true,false,EA Play,-/9NK13T4QFPQW,
EA SPORTS FC™ 26 Xbox Series X|S,9P9FTXPKQ35P,true,false,EA Play,-/9P9FTXPKQ35P,
EA SPORTS™ College Football 25,9NSDM7MBGG8L,true,false,EA Play,-/9NSDM7MBGG8L,
EA SPORTS™ College Football 26,9NLKS78C4F3Z,true,false,EA Play,-/9NLKS78C4F3Z,
EA SPORTS™ Madden NFL 26,9NVD16NP4J8T,true,true,EA Play,-/9NVD16NP4J8T,
EA SPORTS™ PGA TOUR™,9P822XLW9PB8,true,true,EA Play,-/9P822XLW9PB8,
EA SPORTS™ WRC,9N9PDJ7Z8S2R,true,true,EA Play,-/9N9PDJ7Z8S2R,
Echo Generation 2,9N17PD34G54M,true,true,Ultimate Exclusive,-/9N17PD34G54M,
Egging On,9PDKDBQGG2N2,true,true,Ultimate Exclusive,-/9PDKDBQGG2N2,
F1® 24,9PLVVTDHS1P0,true,true,EA Play,-/9PLVVTDHS1P0,
F1® 25,9NWPW7F19FS5,true,true,EA Play,-/9NWPW7F19FS5,
FAR CRY 3,9NXWKGRHT31F,false,true,Ubisoft+ Classics,-/9NXWKGRHT31F,
FAR CRY 3 BLOOD DRAGON,9P5Z088TJQ5S,false,true,Ubisoft+ Classics,-/9P5Z088TJQ5S,
Far Cry 3 Blood Dragon Classic Edition,9NVJ4L71DF5Q,true,false,Ubisoft+ Classics,-/9NVJ4L71DF5Q,
Far Cry 3 Classic Edition,BV2ZVP7PJZWL,true,false,Ubisoft+ Classics,-/BV2ZVP7PJZWL,
FAR CRY PRIMAL,BV6BRSLFJW3W,true,true,Ubisoft+ Classics,-/BV6BRSLFJW3W,
Fe,BZW2R4STVDNK,true,true,EA Play,-/BZW2R4STVDNK,
Feeding Frenzy,BRBRQCVTJG2D,true,false,EA Play,-/BRBRQCVTJG2D,
Feeding Frenzy 2,BQ192SFB694X,true,false,EA Play,-/BQ192SFB694X,
FIGHT NIGHT CHAMPION,BQG162F04T2L,true,false,EA Play,-/BQG162F04T2L,
Fogpiercer,9P2PP895LSBJ,false,true,Ultimate Exclusive,-/9P2PP895LSBJ,
Fortnite,BT5P2X999VH2,true,true,Ultimate Exclusive,-/BT5P2X999VH2,
Forza Horizon 6 Standard Edition,9N431PX143P8,true,true,Ultimate Exclusive,-/9N431PX143P8,
Frog Sqwad,9N16RZ0S50V2,true,true,Ultimate Exclusive,-/9N16RZ0S50V2,
GRID Legends,9NCT9L7NFHX7,true,true,EA Play,-/9NCT9L7NFHX7,
Grounded 2 (Game Preview),9P77PG7DK0W2,true,true,Ultimate Exclusive,-/9P77PG7DK0W2,
