name,console,pc
A Way Out,true,true
Alice: Madness Returns,true,false
Alice: Madness Returns™,false,true
Army of Two™,true,false
Battlefield 3 Premium Edition,false,true
Battlefield 3™,true,false
Battlefield 4,true,false
Battlefield 4™ Premium Edition,false,true
Battlefield™ 1 Revolution,true,true
Battlefield™ 2042,false,true
Battlefield™ 2042 Xbox One,true,false
Battlefield™ 2042 Xbox Series X|S,true,false
Battlefield™ Hardline,true,false
Battlefield™ Hardline Ultimate Edition,false,true
Battlefield™ V,true,false
Battlefield™ V Year 2 Edition,false,true
Bejeweled 2,true,false
Bejeweled 3,true,false
BLACK™,true,false
Burnout™ Paradise Remastered,true,true
Command & Conquer™ Remastered Collection,false,true
Crysis,true,false
Crysis 2,true,false
Crysis 3,false,true
Crysis®,false,true
Crysis® 2 Maximum Edition,false,true
Crysis® 3,true,false
Dante's Inferno™,true,false
Dead Space,true,true
Dead Space - 2008,false,true
Dead Space (2008),true,false
Dead Space 2,false,true
Dead Space 3,false,true
Dead Space™ 2,true,false
Dead Space™ 3,true,false
Dead Space™ Ignition,true,false
DIRT 5,true,false
DiRT Rally 2.0,true,false
Dragon Age: Origins,true,false
Dragon Age™ 2,true,false
Dragon Age™ II,false,true
Dragon Age™: Inquisition,true,false
Dragon Age™: Inquisition - Game of the Year Edition,false,true
Dragon Age™: Origins - Ultimate Edition,false,true
Dragon Age™: The Veilguard,true,false
Dragon Age™: The Veilguard - PC,false,true
Dungeon Keeper™,false,true
Dungeon Keeper™ 2,false,true
EA SPORTS FC™ 25 - PC,false,true
EA SPORTS FC™ 25 Xbox One,true,false
EA SPORTS FC™ 25 Xbox Series X|S,true,false
EA SPORTS FC™ 26 - PC,false,true
EA SPORTS FC™ 26 Xbox One,true,false
EA SPORTS FC™ 26 Xbox Series X|S,true,false
EA SPORTS™ College Football 25,true,false
EA SPORTS™ College Football 26,true,false
EA SPORTS™ Madden NFL 26,true,true
EA SPORTS™ PGA TOUR™,true,true
EA SPORTS™ WRC,true,true
F1® 24,true,true
F1® 25,true,true
Fe,true,true
Feeding Frenzy,true,false
Feeding Frenzy 2,true,false
FIGHT NIGHT CHAMPION,true,false
GRID Legends,true,true
Heavy Weapon,true,false
Immortals of Aveum™,true,true
It Takes Two,false,true
It Takes Two - Digital Version,true,false
Jade Empire™: Special Edition,false,true
Lost in Random™,true,true
Madden NFL 25,false,true
Madden NFL 25 Xbox One,true,false
Madden NFL 25 Xbox Series X|S,true,false
Mass Effect 2,true,false
Mass Effect 2 (2010 Edition),false,true
Mass Effect 3 (2012 Edition),false,true
Mass Effect™,false,true
Mass Effect™ 3,true,false
Mass Effect™ Legendary Edition,true,true
Mass Effect™: Andromeda,true,false
Mass Effect™: Andromeda Deluxe Edition,false,true
Medal of Honor Airborne,true,false
Medal of Honor Airborne™,false,true
Mirror's Edge,false,true
Mirror's Edge™,true,false
Mirror's Edge™ Catalyst,true,true
MySims™,false,true
MySims™ Kingdom,false,true
Need for Speed Rivals,true,false
Need for Speed™,true,false
Need for Speed™ Deluxe Edition,false,true
Need for Speed™ Heat,true,false
Need for Speed™ Heat Deluxe Edition,false,true
Need for Speed™ Hot Pursuit Remastered,true,true
Need for Speed™ Most Wanted,false,true
Need for Speed™ Payback,true,false
Need for Speed™ Payback - Deluxe Edition,false,true
Need for Speed™ Rivals: Complete Edition,false,true
Need for Speed™ Unbound,true,true
NHL® 25 Xbox Series X|S,true,false
NHL® 26 Xbox Series X|S,true,false
NHL® 94 REWIND,true,false
Peggle,true,false
Peggle 2,true,false
Peggle®,false,true
Peggle® Nights,false,true
Plants vs. Zombies,true,false
Plants vs. Zombies Garden Warfare,true,true
Plants vs. Zombies: Battle for Neighborville™,true,false
Plants vs. Zombies: Battle for Neighborville™ Deluxe Edition,false,true
Plants vs. Zombies™ Game of the Year Edition,false,true
Plants vs. Zombies™ Garden Warfare 2,true,false
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,false,true
Populous™,false,true
Populous™ II: Trials of the Olympian Gods,false,true
Populous™: The Beginning,false,true
Sea of Solitude,true,true
Sid Meier's Alpha Centauri™ Planetary Pack,false,true
Sim City 3000™ Unlimited,false,true
SimCity 2000™ Special Edition,false,true
SimCity™ 4 Deluxe Edition,false,true
SimCity™: Complete Edition,false,true
Skate 3,true,false
skate. (2007),true,false
SPORE™,false,true
SSX,true,false
STAR WARS Jedi: Fallen Order™,true,true
STAR WARS Jedi: Survivor™,true,true
STAR WARS Jedi: Survivor™ Xbox One,true,false
STAR WARS™ Battlefront™,true,false
STAR WARS™ Battlefront™ II,true,false
STAR WARS™ Battlefront™ II: Celebration Edition,false,true
STAR WARS™ Battlefront™ Ultimate Edition,false,true
STAR WARS™: Squadrons,true,true
Super Mega Baseball 3,true,true
Super Mega Baseball™ 4,true,true
Tales of Kenzera™: ZAU,true,true
The Saboteur™,false,true
The Sims™ 2 Legacy Collection,false,true
The Sims™ 3 Starter Pack,false,true
The Sims™ 4 EA Play Edition,true,true
The Sims™ Legacy Collection,false,true
Titanfall® 2,true,false
Titanfall® 2: Ultimate Edition,false,true
UFC® 4,true,false
UFC® 5,true,false
Unravel,true,true
Unravel Two,true,true
WILD HEARTS™,false,true
WILD HEARTS™ Standard Edition,true,false
Zuma,true,false
Zuma's Revenge!,true,false
