name,productId,console,pc,cloud,storePath,newSinceDate
Anno 1800™,9P1VNX9Z03N5,false,true,false,-/9P1VNX9Z03N5,
Anno 1800™ Console Edition,9PHKWCSZ0SQJ,true,false,true,-/9PHKWCSZ0SQJ,
Assassin's Creed 2,9NN1M88HL5M6,false,true,false,-/9NN1M88HL5M6,
Assassin's Creed Brotherhood,9PGMNX4HG2C7,false,true,false,-/9PGMNX4HG2C7,
Assassin's Creed Chronicles – Russia,9MZHXGGM7HDJ,false,true,false,-/9MZHXGGM7HDJ,
Assassin's Creed Chronicles – Trilogy,C4HB1XWT02DK,true,false,false,-/C4HB1XWT02DK,
Assassin's Creed Chronicles : China,9PJPZK79N5VG,false,true,false,-/9PJPZK79N5VG,
Assassin’s Creed Chronicles: India,9N0QFT016SGV,false,true,false,-/9N0QFT016SGV,
Assassin's Creed Freedom Cry - Standalone,9MZ1GSWX2G53,false,true,false,-/9MZ1GSWX2G53,
Assassin's Creed IV Black Flag,BRKMHZX1RCF2,true,false,true,-/BRKMHZX1RCF2,
Assassin’s Creed IV Black Flag - Gold Edition,9NVZ03XT8S2P,false,true,false,-/9NVZ03XT8S2P,
Assassin's Creed Odyssey,BW9TWC8L4JCS,true,false,true,-/BW9TWC8L4JCS,
Assassin's Creed Origins,BZGJRJC1FGF3,true,true,true,-/BZGJRJC1FGF3,
Assassin's Creed Revelations,9MZG3KH0PVZC,false,true,false,-/9MZG3KH0PVZC,
Assassin's Creed Rogue,9NV01PJJLXN2,false,true,false,-/9NV01PJJLXN2,
Assassin's Creed Syndicate,BXVQ8M4J9HNM,true,false,true,-/BXVQ8M4J9HNM,
Assassin’s Creed Syndicate,9PHPDGTRVGGL,false,true,false,-/9PHPDGTRVGGL,
Assassin's Creed Unity,BRQH27C9RGXS,true,true,true,-/BRQH27C9RGXS,
Assassin's Creed Valhalla,9P4NJFH17MRT,true,false,true,-/9P4NJFH17MRT,
Assassin's Creed® Chronicles: China,BZQQ7HX8PZ05,true,false,true,-/BZQQ7HX8PZ05,
Assassin's Creed® Chronicles: India,BTMS1PXLQ6P6,true,false,true,-/BTMS1PXLQ6P6,
Assassin's Creed® Chronicles: Russia,BXQQQQ8HRBSF,true,false,true,-/BXQQQQ8HRBSF,
Assassin's Creed® III Remastered,BPMJ413V6BB2,true,true,true,-/BPMJ413V6BB2,
Assassin’s Creed® Mirage,9NZCJF5VF1NV,true,true,true,-/9NZCJF5VF1NV,
Assassin's Creed® Odyssey,9PDNF24PP2V2,false,true,false,-/9PDNF24PP2V2,
Assassin’s Creed® Rogue Remastered,BWT5L9P3L60X,true,false,true,-/BWT5L9P3L60X,
Assassin's Creed® The Ezio Collection,BQ9S8ZKCT3Q7,true,false,true,-/BQ9S8ZKCT3Q7,
Assassin's Creed® Valhalla,9NJ2SFHNCCRV,false,true,false,-/9NJ2SFHNCCRV,
Avatar: Frontiers of Pandora,9N21G14CVS5L,false,true,false,-/9N21G14CVS5L,
Avatar: Frontiers of Pandora™,9N9QJG4S82B5,true,false,true,-/9N9QJG4S82B5,
Child of Light,BQ9Q620NC614,true,true,true,-/BQ9Q620NC614,
FAR CRY 3,9NXWKGRHT31F,false,true,false,-/9NXWKGRHT31F,
FAR CRY 3 BLOOD DRAGON,9P5Z088TJQ5S,false,true,false,-/9P5Z088TJQ5S,
Far Cry 3 Blood Dragon Classic Edition,9NVJ4L71DF5Q,true,false,true,-/9NVJ4L71DF5Q,
Far Cry 3 Classic Edition,BV2ZVP7PJZWL,true,false,true,-/BV2ZVP7PJZWL,
FAR CRY 4,9MVV32Z0JPCL,false,true,false,-/9MVV32Z0JPCL,
Far Cry New Dawn,9NWX420Z2NLG,false,true,false,-/9NWX420Z2NLG,
FAR CRY PRIMAL,BV6BRSLFJW3W,true,true,true,-/BV6BRSLFJW3W,
Far Cry® 4,C0KJ40T9QD86,true,false,true,-/C0KJ40T9QD86,
Far Cry® 5,BR7X7MVBBQKM,true,true,true,-/BR7X7MVBBQKM,
Far Cry® 6,9PJ45NJCHSFS,false,true,false,-/9PJ45NJCHSFS,
Far Cry® New Dawn,C1DDW4PRF6K5,true,false,true,-/C1DDW4PRF6K5,
FARCRY 6,9PBNGCVBGML0,true,false,true,-/9PBNGCVBGML0,
FOR HONOR - Standard Edition,9N3DWR830CVN,true,false,true,-/9N3DWR830CVN,
For Honor Standard,9P82LXD5RH31,false,true,false,-/9P82LXD5RH31,
Hungry Shark World,9P57SQHVWND7,false,true,false,-/9P57SQHVWND7,
Hungry Shark® World,C3NHWKLR94M9,true,false,true,-/C3NHWKLR94M9,
Immortals Fenyx Rising™,C07KJZRH0L7S,true,true,true,-/C07KJZRH0L7S,
MONOPOLY 2024,9NVH8SJNX20S,false,true,false,-/9NVH8SJNX20S,
Monopoly Madness,9P0RGJND5SR0,true,false,true,-/9P0RGJND5SR0,
MONOPOLY Madness,9MTP0GJ0Q3MG,false,true,false,-/9MTP0GJ0Q3MG,
New MONOPOLY®,9P8H220G3S4P,true,false,true,-/9P8H220G3S4P,
OddBallers™,9PMX3SK2RMG4,true,true,true,-/9PMX3SK2RMG4,
Prince of Persia The Lost Crown,9P4LSLG7B8CT,true,true,true,-/9P4LSLG7B8CT,
Rabbids Invasion : The Interactive TV Show,BXZ0JDCPRV6C,true,false,false,-/BXZ0JDCPRV6C,
