name,productId,console,pc,cloud,category,storePath,newSinceDate
Aphelion,9NK8947Z28XL,true,true,true,Ultimate Exclusive,-/9NK8947Z28XL,
Ascend to ZERO,9NHCT85MKHCV,true,true,true,Ultimate Exclusive,-/9NHCT85MKHCV,
Beast of Reincarnation,9NXWSWBM4H6T,true,true,true,Ultimate Exclusive,-/9NXWSWBM4H6T,2026-08-04
Beastro,9NJRSC0B0K88,true,true,true,Ultimate Exclusive,-/9NJRSC0B0K88,
Beatdown City Survivors,9N4X39HZ1CSQ,true,true,true,Ultimate Exclusive,-/9N4X39HZ1CSQ,
Black Jacket,9NTXGKBW2HSM,true,true,true,Ultimate Exclusive,-/9NTXGKBW2HSM,
Blood Dungeon,9MSVBF0KZFVW,true,true,true,Ultimate Exclusive,-/9MSVBF0KZFVW,2026-08-26
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,9N1N0NQNGK9W,true,false,true,Ultimate Exclusive,-/9N1N0NQNGK9W,
Call of Duty®: Black Ops 6 - Standard Edition (Windows),9MZ1RZTJTZKB,false,true,false,Ultimate Exclusive,-/9MZ1RZTJTZKB,
Call of Duty®: Black Ops 7 - Cross-Gen Bundle,9N8KMNW6942X,true,true,true,Ultimate Exclusive,-/9N8KMNW6942X,
Call of the Elder Gods,9PF697TG7PP7,true,true,true,Ultimate Exclusive,-/9PF697TG7PP7,
Corsair Cove,9PHS0189K408,false,true,false,Ultimate Exclusive,-/9PHS0189K408,2026-08-01
Crashout Crew,9NJJVQZ3BVPX,true,true,true,Ultimate Exclusive,-/9NJJVQZ3BVPX,
Denshattack!,9N18L56XHK8Z,true,true,true,Ultimate Exclusive,-/9N18L56XHK8Z,
Dice A Million,9N3NTDPJCD9Z,false,true,false,Ultimate Exclusive,-/9N3NTDPJCD9Z,
Echo Generation 2,9N17PD34G54M,true,true,true,Ultimate Exclusive,-/9N17PD34G54M,
Fogpiercer,9P2PP895LSBJ,false,true,false,Ultimate Exclusive,-/9P2PP895LSBJ,
Fortnite,BT5P2X999VH2,true,true,false,Ultimate Exclusive,-/BT5P2X999VH2,
