name,productId,console,pc,cloud,category,storePath,newSinceDate
A Way Out,BWVBNCMF22ZK,true,true,false,EA Play,-/BWVBNCMF22ZK,
Aerial_Knight's DropShot,9P59J86GHDGL,true,true,true,Ultimate Exclusive,-/9P59J86GHDGL,
Alice: Madness Returns,BSNZHRCKC13J,true,false,false,EA Play,-/BSNZHRCKC13J,
Alice: Madness Returns™,9NPVC7S5ZZ7R,false,true,false,EA Play,-/9NPVC7S5ZZ7R,
Aphelion,9NK8947Z28XL,true,true,true,Ultimate Exclusive,-/9NK8947Z28XL,
Army of Two™,C1LM235H6FZ1,true,false,false,EA Play,-/C1LM235H6FZ1,
Ascend to ZERO,9NHCT85MKHCV,true,true,true,Ultimate Exclusive,-/9NHCT85MKHCV,
Assassin's Creed 2,9NN1M88HL5M6,false,true,false,Ubisoft+ Classics,-/9NN1M88HL5M6,
Assassin's Creed Brotherhood,9PGMNX4HG2C7,false,true,false,Ubisoft+ Classics,-/9PGMNX4HG2C7,
Assassin's Creed Chronicles – Russia,9MZHXGGM7HDJ,false,true,false,Ubisoft+ Classics,-/9MZHXGGM7HDJ,
Assassin's Creed Chronicles – Trilogy,C4HB1XWT02DK,true,false,false,Ubisoft+ Classics,-/C4HB1XWT02DK,
Assassin's Creed Chronicles : China,9PJPZK79N5VG,false,true,false,Ubisoft+ Classics,-/9PJPZK79N5VG,
Assassin’s Creed Chronicles: India,9N0QFT016SGV,false,true,false,Ubisoft+ Classics,-/9N0QFT016SGV,
Assassin's Creed Freedom Cry - Standalone,9MZ1GSWX2G53,false,true,false,Ubisoft+ Classics,-/9MZ1GSWX2G53,
Assassin's Creed IV Black Flag,BRKMHZX1RCF2,true,false,true,Ubisoft+ Classics,-/BRKMHZX1RCF2,
Assassin’s Creed IV Black Flag - Gold Edition,9NVZ03XT8S2P,false,true,false,Ubisoft+ Classics,-/9NVZ03XT8S2P,
Assassin's Creed Revelations,9MZG3KH0PVZC,false,true,false,Ubisoft+ Classics,-/9MZG3KH0PVZC,
Assassin's Creed Rogue,9NV01PJJLXN2,false,true,false,Ubisoft+ Classics,-/9NV01PJJLXN2,
